"time","actor1","actor2","end_date","outcome","highact","hihost","fatlev"
1842-01-01,"FRN","ARG",1842-01-31,"Statlemate","Threat to use force",2,"None"
1842-10-18,"USA","MEX",1842-10-26,"Statlemate","Raid",4,"None"
1842-11-01,"UKG","ARG",1843-01-31,"Ongoing","Show of Ships",3,"None"
1842-11-01,"UKG","ARG",1843-01-31,"Statlemate","Show of Ships",3,"None"
1842-11-01,"FRN","ARG",1843-01-31,"Ongoing","Show of Ships",3,"None"
1842-11-01,"FRN","ARG",1843-01-31,"Statlemate","Show of Ships",3,"None"
1843-08-23,"USA","MEX",1848-02-02,"Ongoing","Border violation",3,"None"
1843-08-23,"USA","MEX",1848-02-02,"Ongoing","Border violation",3,"None"
1843-08-23,"USA","MEX",1848-02-02,"Ongoing","Border violation",3,"None"
1843-08-23,"USA","MEX",1848-02-02,"Ongoing","Begin Interstate War",5,"None"
1843-08-23,"USA","MEX",1848-02-02,"Ongoing","Begin Interstate War",5,"None"
1843-08-23,"USA","MEX",1848-02-02,"Win A","Raid",4,"1,000+"
1843-09-21,"CHL","ARG",1844-04-30,"Ongoing","Occupation of territory",4,"None"
1843-09-21,"CHL","ARG",1844-04-30,"Win A","Occupation of territory",4,"None"
1845-04-01,"UKG","ARG",1846-03-26,"Ongoing","Clash",4,"None"
1845-04-01,"UKG","ARG",1846-03-26,"Win A","Clash",4,"None"
1845-04-01,"FRN","ARG",1846-03-26,"Ongoing","Clash",4,"None"
1845-04-01,"FRN","ARG",1846-03-26,"Win A","Clash",4,"None"
1845-06-04,"UKG","BRA",1846-05-16,"Ongoing","Seizure",4,"None"
1845-06-04,"UKG","BRA",1846-05-16,"Statlemate","Seizure",4,"None"
1846-01-01,"UKG","USA",1846-06-08,"Compromise","Show of Ships",3,"None"
1846-01-01,"ARG","PAR",1846-07-01,"Statlemate","Blockade",4,"None"
1846-11-07,"PER","SPN",1847-02-06,"Ongoing","Alert",3,"None"
1846-11-07,"PER","SPN",1847-02-06,"Yield B","Alert",3,"None"
1846-12-07,"CHL","SPN",1847-02-06,"Ongoing","Alert",3,"None"
1846-12-07,"CHL","SPN",1847-02-06,"Yield B","Alert",3,"None"
1848-04-01,"FRN","AUH",1848-08-09,"Statlemate","Raid",4,"None"
1848-04-01,"GMY","DEN",1849-07-10,"Ongoing","Begin Interstate War",5,"None"
1848-04-01,"GMY","DEN",1849-07-10,"Compromise","Begin Interstate War",5,"1,000+"
1848-04-04,"AUH","ITA",1849-03-23,"Ongoing","Begin Interstate War",5,"None"
1848-04-04,"AUH","ITA",1849-03-23,"Win A","Begin Interstate War",5,"1,000+"
1849-05-01,"VEN","NTH",1849-07-31,"Statlemate","Seizure",4,"None"
1849-08-01,"UKG","BRA",1852-06-30,"Ongoing","Raid",4,"None"
1849-08-01,"UKG","BRA",1852-06-30,"Ongoing","Raid",4,"None"
1849-08-01,"UKG","BRA",1852-06-30,"Ongoing","Raid",4,"None"
1849-08-01,"UKG","BRA",1852-06-30,"Win A","Raid",4,"None"
1849-10-06,"UKG","RUS",1849-11-13,"Statlemate","Show of Ships",3,"None"
1849-10-06,"FRN","RUS",1849-11-13,"Statlemate","Show of Ships",3,"None"
1849-11-01,"TUR","RUS",1849-11-13,"Statlemate","Threat to use force",2,"None"
1850-01-17,"UKG","GRC",1850-04-27,"Yield B","Blockade",4,"None"
1850-06-01,"SPN","USA",1850-12-31,"Statlemate","Seizure",4,"None"
1850-09-01,"BRA","PAR",1850-10-14,"Win B","Raid",4,"None"
1850-09-26,"GMY","AUH",1850-11-29,"Compromise","Clash",4,"None"
1850-10-28,"GMY","RUS",1850-11-29,"Compromise","Show of troops",3,"None"
1850-11-01,"USA","MEX",1851-01-25,"Ongoing","Threat to occupy terr.",2,"None"
1850-11-01,"USA","MEX",1851-01-25,"Yield B","Threat to occupy terr.",2,"None"
1850-11-08,"GMY","FRN",1850-11-29,"Compromise","Show of troops",3,"None"
1850-12-01,"ARG","PAR",1851-01-31,"Ongoing","Occupation of territory",4,"None"
1850-12-01,"ARG","PAR",1851-01-31,"Yield B","Occupation of territory",4,"None"
1851-04-01,"BRA","ARG",1852-02-03,"Ongoing","Begin Interstate War",5,"None"
1851-04-01,"BRA","ARG",1852-02-03,"Win A","Begin Interstate War",5,"1,000+"
1852-03-01,"COL","PER",1852-07-18,"Statlemate","Alert",3,"None"
1852-04-01,"FRN","TUR",1852-06-30,"Yield B","Show of Ships",3,"None"
1852-05-01,"USA","PER",1852-06-30,"Yield A","Show of Ships",3,"None"
1852-06-02,"CHL","PER",1852-06-02,"Statlemate","Threat to use force",2,"None"
1852-08-01,"COL","PER",1852-11-30,"Compromise","Threat to use force",2,"None"
1852-10-01,"VEN","CHL",1852-11-30,"Compromise","Show of Ships",3,"None"
1853-01-01,"AUH","TUR",1853-02-25,"Yield B","Show of troops",3,"None"
1853-01-03,"AUH","ITA",1853-03-12,"Statlemate","Raid",4,"None"
1853-02-01,"RUS","TUR",1853-02-25,"Yield B","Show of troops",3,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-05-31,"RUS","TUR",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Show of Ships",3,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","UKG",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Show of Ships",3,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1853-06-13,"RUS","FRN",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1853-07-02,"USA","AUH",1853-07-02,"Statlemate","Show of Ships",3,"None"
1854-01-01,"GRC","UKG",1854-12-01,"Yield B","Clash",4,"None"
1854-01-01,"GRC","TUR",1854-12-01,"Yield A","Clash",4,"None"
1854-02-28,"SPN","USA",1854-04-08,"Released","Seizure",4,"None"
1854-04-20,"RUS","AUH",1856-03-30,"Ongoing","Show of troops",3,"None"
1854-04-20,"RUS","AUH",1856-03-30,"Ongoing","Show of troops",3,"None"
1854-04-20,"RUS","AUH",1856-03-30,"Win B","Show of troops",3,"1,000+"
1854-04-20,"AUH","RUS",1854-11-22,"Statlemate","Show of troops",3,"None"
1854-05-31,"GRC","FRN",1854-12-01,"Yield B","Clash",4,"None"
1854-07-09,"USA","UKG",1854-10-30,"Statlemate","Raid",4,"None"
1854-12-12,"VEN","NTH",1855-06-13,"Ongoing","Occupation of territory",4,"None"
1854-12-12,"VEN","NTH",1855-06-13,"Win A","Occupation of territory",4,"None"
1855-01-01,"BRA","PAR",1855-03-21,"Compromise","Raid",4,"None"
1855-01-10,"RUS","ITA",1856-03-30,"Ongoing","Begin Interstate War",5,"None"
1855-01-10,"RUS","ITA",1856-03-30,"Win B","Begin Interstate War",5,"1,000+"
1855-03-07,"SPN","USA",1855-03-09,"Statlemate","Raid",4,"None"
1855-10-01,"USA","MEX",1855-10-31,"Statlemate","Raid",4,"None"
1856-03-01,"NTH","VEN",1856-03-31,"Compromise","Show of Ships",3,"None"
1856-05-10,"UKG","USA",1856-05-31,"Statlemate","Raid",4,"None"
1856-06-25,"USA","COL",1856-10-11,"Yield B","Show of Ships",3,"None"
1856-07-01,"UKG","IRN",1857-04-05,"Ongoing","Begin Interstate War",5,"None"
1856-07-01,"UKG","IRN",1857-04-05,"Win A","Begin Interstate War",5,"1,000+"
1856-08-10,"PAR","BRA",1858-02-12,"Ongoing","Blockade",4,"None"
1856-08-10,"PAR","BRA",1858-02-12,"Ongoing","Blockade",4,"None"
1856-08-10,"PAR","BRA",1858-02-12,"Yield B","Blockade",4,"None"
1856-10-01,"UKG","COL",1857-01-31,"Ongoing","Show of Ships",3,"None"
1856-10-01,"UKG","COL",1857-01-31,"Yield B","Show of Ships",3,"None"
1857-08-20,"CHL","BOL",1858-02-20,"Ongoing","Occupation of territory",4,"None"
1857-08-20,"CHL","BOL",1858-02-20,"Win A","Occupation of territory",4,"None"
1857-11-01,"ECU","COL",1857-11-30,"Compromise","Raid",4,"None"
1857-11-29,"POR","FRN",1858-05-29,"Ongoing","Seizure",4,"None"
1857-11-29,"POR","FRN",1858-05-29,"Released","Seizure",4,"None"
1858-01-01,"UKG","USA",1858-06-08,"Yield B","Raid",4,"None"
1858-01-24,"PER","USA",1858-05-31,"Yield B","Seizure",4,"None"
1858-05-01,"PER","ECU",1860-01-25,"Ongoing","Clash",4,"None"
1858-05-01,"PER","ECU",1860-01-25,"Ongoing","Clash",4,"None"
1858-05-01,"PER","ECU",1860-01-25,"Win A","Clash",4,"26-100"
1858-05-01,"UKG","VEN",1858-08-27,"Compromise","Blockade",4,"None"
1858-05-01,"FRN","VEN",1858-08-27,"Compromise","Blockade",4,"None"
1859-01-29,"AUH","ITA",1859-07-12,"Win B","Begin Interstate War",5,"1,000+"
1859-04-01,"PER","SPN",1859-06-30,"Released","Seizure",4,"None"
1859-04-22,"AUH","FRN",1859-07-12,"Win B","Begin Interstate War",5,"1,000+"
1859-05-01,"VEN","UKG",1859-05-31,"Statlemate","Seizure",4,"None"
1859-06-24,"GMY","FRN",1859-07-12,"Yield A","Mobilization",3,"None"
1859-06-24,"GMY","ITA",1859-07-12,"Yield A","Mobilization",3,"None"
1859-10-16,"SPN","MOR",1860-03-25,"Ongoing","Begin Interstate War",5,"None"
1859-10-16,"SPN","MOR",1860-03-25,"Win A","Begin Interstate War",5,"1,000+"
1859-11-21,"USA","MEX",1860-01-04,"Ongoing","Border violation",3,"None"
1859-11-21,"USA","MEX",1860-01-04,"Statlemate","Border violation",3,"None"
1859-11-29,"UKG","PAR",1859-11-30,"Released","Seizure",4,"None"
1860-03-02,"USA","MEX",1860-03-20,"Statlemate","Clash",4,"None"
1860-08-16,"CHL","PER",1860-08-16,"Statlemate","Threat to use force",2,"None"
1860-09-10,"ITA","FRN",1860-09-29,"Win A","Show of Ships",3,"None"
1860-09-17,"FRN","ITA",1861-01-19,"Ongoing","Show of troops",3,"None"
1860-09-17,"FRN","ITA",1861-01-19,"Unclear","Show of troops",3,"None"
1860-11-13,"ITA","FRN",1861-01-19,"Ongoing","Show of Ships",3,"None"
1860-11-13,"ITA","FRN",1861-01-19,"Win A","Show of Ships",3,"None"
1860-12-20,"USA","UKG",1860-12-20,"Statlemate","Threat to use force",2,"None"
1860-12-20,"USA","FRN",1860-12-20,"Statlemate","Threat to use force",2,"None"
1860-12-20,"USA","SPN",1860-12-20,"Statlemate","Threat to use force",2,"None"
1861-03-13,"RUS","JPN",1861-09-21,"Yield A","Occupation of territory",4,"26-100"
1861-05-01,"BOL","CHL",1861-06-30,"Win A","Seizure",4,"None"
1861-08-27,"RUS","UKG",1861-09-21,"Yield B","Occupation of territory",4,"26-100"
1861-10-31,"UKG","MEX",1862-04-08,"Ongoing","Clash",4,"None"
1861-10-31,"UKG","MEX",1862-04-08,"Win B","Clash",4,"1,000+"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Occupation of territory",4,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Begin Interstate War",5,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Begin Interstate War",5,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Begin Interstate War",5,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Begin Interstate War",5,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Ongoing","Begin Interstate War",5,"None"
1861-10-31,"FRN","MEX",1867-02-05,"Win B","Begin Interstate War",5,"1,000+"
1861-10-31,"SPN","MEX",1862-04-08,"Ongoing","Clash",4,"None"
1861-10-31,"SPN","MEX",1862-04-08,"Win B","Clash",4,"1,000+"
1861-11-07,"USA","UKG",1861-12-26,"Released","Seizure",4,"None"
1862-04-01,"BRA","PAR",1862-05-31,"Statlemate","Fortify border",3,"None"
1862-06-01,"BRA","UKG",1863-01-05,"Ongoing","Seizure",4,"None"
1862-06-01,"BRA","UKG",1863-01-05,"Released","Seizure",4,"None"
1862-06-01,"RUS","CHN",1864-10-31,"Ongoing","Clash",4,"None"
1862-06-01,"RUS","CHN",1864-10-31,"Ongoing","Clash",4,"None"
1862-06-01,"RUS","CHN",1864-10-31,"Yield B","Clash",4,"None"
1862-06-19,"COL","ECU",1862-07-31,"Statlemate","Clash",4,"26-100"
1862-08-10,"SPN","PER",1863-02-10,"Ongoing","Show of Ships",3,"None"
1862-08-10,"SPN","PER",1863-02-10,"Statlemate","Show of Ships",3,"None"
1862-08-10,"SPN","CHL",1863-02-10,"Ongoing","Show of Ships",3,"None"
1862-08-10,"SPN","CHL",1863-02-10,"Statlemate","Show of Ships",3,"None"
1863-02-01,"CHL","BOL",1863-12-31,"Statlemate","Seizure",4,"None"
1863-04-06,"UKG","JPN",1863-08-17,"Win A","Seizure",4,"None"
1863-04-17,"GMY","DEN",1864-07-20,"Ongoing","Threat to declare war",2,"None"
1863-04-17,"GMY","DEN",1864-07-20,"Win A","Begin Interstate War",5,"1,000+"
1863-07-20,"USA","JPN",1863-07-20,"Win A","Threat to use force",2,"None"
1863-07-20,"FRN","JPN",1863-07-20,"Win A","Threat to use force",2,"None"
1863-08-01,"COL","ECU",1863-12-06,"Win A","Begin Interstate War",5,"1,000+"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Mobilization",3,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1863-08-01,"PAR","BRA",1870-03-01,"Win B","Begin Interstate War",5,"1,000+"
1863-10-01,"AUH","DEN",1864-07-20,"Ongoing","Threat to declare war",2,"None"
1863-10-01,"AUH","DEN",1864-07-20,"Win A","Begin Interstate War",5,"1,000+"
1864-04-14,"SPN","PER",1865-02-05,"Ongoing","Occupation of territory",4,"None"
1864-04-14,"SPN","PER",1865-02-05,"Compromise","Occupation of territory",4,"None"
1864-04-25,"SPN","CHL",1864-09-27,"Compromise","Occupation of territory",4,"None"
1864-12-06,"USA","SPN",1864-12-06,"Statlemate","Threat to use force",2,"None"
1865-02-01,"SPN","CHL",1866-05-09,"Ongoing","Begin Interstate War",5,"None"
1865-02-01,"SPN","CHL",1866-05-09,"Win B","Begin Interstate War",5,"1,000+"
1865-04-01,"PAR","ARG",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1865-04-01,"PAR","ARG",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1865-04-01,"PAR","ARG",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1865-04-01,"PAR","ARG",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1865-04-01,"PAR","ARG",1870-03-01,"Ongoing","Begin Interstate War",5,"None"
1865-04-01,"PAR","ARG",1870-03-01,"Win B","Begin Interstate War",5,"1,000+"
1865-04-03,"AUH","GMY",1866-07-26,"Ongoing","Mobilization",3,"None"
1865-04-03,"AUH","GMY",1866-07-26,"Win B","Begin Interstate War",5,"1,000+"
1865-08-01,"USA","FRN",1866-02-12,"Ongoing","Show of troops",3,"None"
1865-08-01,"USA","FRN",1866-02-12,"Yield B","Show of troops",3,"None"
1865-11-01,"SPN","PER",1866-05-09,"Ongoing","Mobilization",3,"None"
1865-11-01,"SPN","PER",1866-05-09,"Statlemate","Begin Interstate War",5,"1,000+"
1865-11-04,"UKG","JPN",1865-11-24,"Yield B","Show of Ships",3,"None"
1865-11-04,"NTH","JPN",1865-11-24,"Yield B","Show of Ships",3,"None"
1865-11-04,"FRN","JPN",1865-11-24,"Yield B","Show of Ships",3,"None"
1866-02-27,"SPN","ECU",1866-02-27,"Statlemate","Declaration of War",4,"1,000+"
1866-03-25,"AUH","ITA",1866-07-26,"Win B","Begin Interstate War",5,"1,000+"
1866-03-27,"USA","SPN",1866-03-31,"Statlemate","Show of Ships",3,"None"
1866-04-11,"SPN","BOL",1866-04-11,"Statlemate","Declaration of War",4,"1,000+"
1866-07-01,"BOL","ARG",1866-07-31,"Statlemate","Show of troops",3,"None"
1866-08-05,"GMY","FRN",1866-08-07,"Statlemate","Threat to use force",2,"None"
1866-10-01,"GRC","TUR",1866-10-31,"Statlemate","Show of troops",3,"None"
1866-11-03,"USA","BRA",1866-11-03,"Yield B","Show of Ships",3,"None"
1868-11-19,"GRC","TUR",1869-02-06,"Ongoing","Clash",4,"None"
1868-11-19,"GRC","TUR",1869-02-06,"Statlemate","Clash",4,"None"
1869-02-01,"VEN","NTH",1869-02-28,"Statlemate","Seizure",4,"None"
1869-11-01,"USA","HAI",1869-11-30,"Statlemate","Show of Ships",3,"None"
1870-06-17,"USA","MEX",1870-06-18,"Yield B","Raid",4,"None"
1870-07-06,"FRN","GMY",1871-02-25,"Ongoing","Begin Interstate War",5,"None"
1870-07-06,"FRN","GMY",1871-02-25,"Win B","Begin Interstate War",5,"1,000+"
1870-07-25,"FRN","CHN",1870-10-05,"Yield B","Mobilization",3,"None"
1870-08-01,"RUS","CHN",1871-07-31,"Ongoing","Clash",4,"None"
1870-08-01,"RUS","CHN",1871-07-31,"Win A","Clash",4,"None"
1870-08-22,"USA","CHN",1870-10-05,"Yield B","Mobilization",3,"None"
1870-08-22,"ITA","CHN",1870-10-05,"Yield B","Mobilization",3,"None"
1871-05-07,"GMY","FRN",1871-05-07,"Yield B","Threat to use force",2,"None"
1871-06-24,"FRN","GMY",1871-06-29,"Statlemate","Show of troops",3,"None"
1871-07-01,"RUS","CHN",1872-01-31,"Ongoing","Occupation of territory",4,"None"
1871-07-01,"RUS","CHN",1872-01-31,"Win A","Occupation of territory",4,"None"
1871-07-12,"RUS","JPN",1872-01-12,"Ongoing","Occupation of territory",4,"None"
1871-07-12,"RUS","JPN",1872-01-12,"Compromise","Occupation of territory",4,"None"
1872-03-22,"BRA","ARG",1872-05-31,"Compromise","Mobilization",3,"None"
1872-06-11,"GMY","HAI",1872-06-12,"Win A","Seizure",4,"None"
1872-08-01,"PER","CHL",1872-11-19,"Statlemate","Show of Ships",3,"None"
1873-03-15,"CHL","ARG",1873-05-22,"Statlemate","Clash",4,"None"
1873-05-06,"USA","MEX",1873-06-16,"Statlemate","Border violation",3,"None"
1873-06-01,"JPN","CHN",1873-06-30,"Statlemate","Threat to use force",2,"None"
1873-10-31,"SPN","USA",1873-11-10,"Yield B","Seizure",4,"None"
1873-11-01,"SPN","UKG",1873-11-10,"Yield B","Seizure",4,"None"
1874-03-24,"ARG","BRA",1874-03-24,"Statlemate","Show of troops",3,"None"
1874-04-17,"JPN","CHN",1874-12-03,"Yield B","Raid",4,"None"
1875-03-01,"JPN","CHN",1875-12-12,"Yield B","Occupation of territory",4,"None"
1875-03-01,"BOL","PER",1875-10-31,"Statlemate","Occupation of territory",4,"None"
1875-04-20,"USA","MEX",1875-07-12,"Statlemate","Border violation",3,"None"
1875-06-19,"ARG","BRA",1875-12-30,"Compromise","Show of troops",3,"None"
1876-02-01,"GUA","SAL",1876-04-25,"Win A","Begin Interstate War",5,"1,000+"
1876-03-01,"ITA","SAL",1876-03-16,"Yield B","Show of Ships",3,"None"
1876-04-27,"CHL","ARG",1876-08-02,"Statlemate","Seizure",4,"None"
1876-05-01,"UKG","RUS",1876-05-31,"Statlemate","Show of Ships",3,"None"
1876-05-06,"UKG","TUR",1876-05-30,"Yield B","Show of Ships",3,"None"
1876-05-13,"GMY","TUR",1876-05-13,"Statlemate","Threat to use force",2,"None"
1876-05-13,"AUH","TUR",1876-05-13,"Statlemate","Threat to use force",2,"None"
1876-05-13,"RUS","TUR",1876-05-13,"Statlemate","Threat to use force",2,"None"
1876-05-16,"USA","MEX",1878-08-20,"Ongoing","Raid",4,"None"
1876-05-16,"USA","MEX",1878-08-20,"Ongoing","Raid",4,"None"
1876-05-16,"USA","MEX",1878-08-20,"Statlemate","Raid",4,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Ongoing","Mobilization",3,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Ongoing","Begin Interstate War",5,"None"
1876-10-31,"RUS","TUR",1878-01-31,"Win A","Begin Interstate War",5,"1,000+"
1877-02-01,"GRC","TUR",1877-05-31,"Statlemate","Show of troops",3,"None"
1877-05-06,"UKG","RUS",1878-06-13,"Ongoing","Show of Ships",3,"None"
1877-05-06,"UKG","RUS",1878-06-13,"Yield B","Show of Ships",3,"None"
1877-07-13,"AUH","ITA",1877-11-30,"Statlemate","Fortify border",3,"None"
1878-01-07,"GRC","TUR",1878-02-26,"Statlemate","Declaration of War",4,"None"
1878-08-01,"TUR","GRC",1878-08-31,"Statlemate","Mobilization",3,"None"
