"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
1992-07-06,"Japan_gov","South Korea_gov","Japan","South Korea",1992,"international","3_apology",FALSE,"Japanese Chief Cabinet Secretary Koichi Kato expressed 'sincere apology and remorse' to all those who have suffered hardship as so-called 'wartime comfort women'."
1992-10-23,"Japan_gov","China_gov","Japan","China",1992,"international","2_regret",FALSE,"During a royal visit to China, Japanese Emperor Akihito expressed his sorrow for JapanÕs wartime abuses."
1993-04-29,"South Africa_gov","South Africa_min","South Africa","South Africa",1993,"domestic","3_apology",FALSE,"South African President F.W. de Klerk apologized for apartheid."
1993-06-10,"Austria_gov","holocaust_victims","Austria","holocaust_victims",1993,"multilateral","3_apology",FALSE,"Austrian Bundeskanzler Franz Vanitzky asked for forgiveness for Austria's role in Holocaust during speech at the Hebrew University of Jerusalem"
1993-08-04,"Japan_gov","South Korea_gov","Japan","South Korea",1993,"international","3_apology",FALSE,"Japanese Chief Cabinet Secretary Y_hei K_no apologized on behalf of the Japanese government to ""comfort women""Ê"
1993-08-23,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1993,"multilateral","3_apology",FALSE,"Japanese Prime Minister Morihiro Hosokawa conveyed 'a feeling of deep remorse and apologies' for the countryÕs 'past acts of aggression and colonial rule'."
1993-10-01,"United States_gov","United States_min","United States","United States",1993,"domestic","4_apology_redress",FALSE,"U.S. President Bill Clinton issued a letter of apology accompanying redress payments for Japanese Americans who were interned during World War II."
1993-10-13,"Russia_gov","Japan_gov","Russia","Japan",1993,"international","3_apology",FALSE,"Russian President Boris Yeltsin apologized for the internment of 600,000 Japanese POWs in Siberia after World War II."
1993-11-07,"Japan_gov","South Korea_gov","Japan","South Korea",1993,"international","3_apology",FALSE,"Japanese Prime Minister Morihiro Hosokawa apologized to South Korean President Kim Young Sam for the suffering caused during Japan's colonial rule."
1993-11-23,"United States_gov","United States_min","United States","United States",1993,"domestic","3_apology",FALSE,"The U.S. House passed U.S. Public Law 103-150 in which it offered an apology to native Hawaiians for the overthrow of the Kingdom of Hawaii."
1994-08-01,"Germany_gov","Poland_gov","Germany","Poland",1994,"international","3_apology",FALSE,"German President Roman Herzog asked the Polish people for forgiveness for the Òinordinate sufferingÓ inflicted on their country during World War II."
1994-08-31,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1994,"multilateral","3_apology",FALSE,"Japanese Prime Minister Tomiichi Murayama apologized for the suffering caused by Imperial Japan."
1994-11-15,"Austria_gov","Israel_gov","Austria","Israel",1994,"international","1_acknowledge",FALSE,"Addressing a special session of the Knesset, Austrian President Thomas Klestil acknowledged his countryÕs complicity in the Holocaust "
1995-02-28,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",1995,"domestic","3_apology",FALSE,"Taiwan President Lee Tung-hui apologized for the government's actions during the White Terror era."
1995-03-01,"Lithuania_gov","Israel_gov","Lithuania","Israel",1995,"international","3_apology",FALSE,"Lithuanian President Algirdas Brazauskas asked the Israeli Knesset for forgiveness for LithuaniaÕs deeds in the Holocaust."
1995-05-07,"Switzerland_gov","other_multilateral","Switzerland","other_multilateral",1995,"multilateral","3_apology",FALSE,"Swiss president Kaspar Villiger apologized for SwitzerlandÕs refusal to accept refugees during the war."
1995-06-09,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1995,"multilateral","2_regret",FALSE,"The lower house of the Japanese Diet expressed Òdeep remorseÓ for the suffering inflicted on Asians and others in World War II."
1995-06-09,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1995,"multilateral","2_regret",FALSE,"Japanese Prime Minister Tomiichi Murayama expressed deep remorse for the past"
1995-07-01,"Japan_gov","comfort_women","Japan","comfort_women",1995,"multilateral","4_apology_redress",FALSE,"Japanese Prime Minister Tomiichi Murayama apologized to the roughly 200,000 women who were put into brothels by Japanese forces to serve as sex slaves or Òcomfort womenÓ and sets up a privateÊÒAsian WomenÕs FundÓ to deal with reparations.Ê"
1995-07-16,"France_gov","holocaust_victims","France","holocaust_victims",1995,"multilateral","3_apology",FALSE,"French President Jacques Chirac apologized for the help the Vichy government gave the Nazis in deporting 320,000 French Jews to death camps."
1995-08-15,"Japan_gov","wwii_asia_victims","Japan","wwii_asia_victims",1995,"multilateral","3_apology",FALSE,"Japanese Prime Minister Tomiichi Murayama issued a statement of Òheartfelt apologiesÓ for JapanÕs aggression.Ê"
1995-10-03,"United States_gov","United States_min","United States",NA,1995,"domestic","3_apology",FALSE,"U.S. President Bill Clinton apologized to victims of radiation experiments"
1995-11-01,"Portugal_gov","Israel_gov","Portugal","Israel",1995,"international","3_apology",FALSE,"Portugal's President Mario Soares requested forgiveness for Jewish persecution during the inquisition and in its aftermath."
1995-11-03,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",1995,"domestic","3_apology",FALSE,"Queen Elizabeth II of Great Britain approved legislation which Òapologized unreservedlyÓ to New Zealand Maori for taking their land in 1863.Ê"
1996-12-01,"Japan_gov","comfort_women","Japan","comfort_women",1996,"multilateral","4_apology_redress",FALSE,"Japanese Prime Minister Ryutara Hashimoto offered a letter of apology and monetary reparations to 500 survivors of the 200,000 Òcomfort womenÓ "
1997-01-21,"Germany_gov","Czechia_gov","Germany","Czechia",1997,"international","3_apology",FALSE,"In a joint declaration, foreign ministers from Germany and the Czech Republic apologized to each other for conflicts in the 1930s and 1940s."
1997-01-21,"Czechia_gov","Germany_gov","Czechia","Germany",1997,"international","3_apology",FALSE,"In a joint declaration, foreign ministers from Germany and the Czech Republic apologized to each other for conflicts in the 1930s and 1940s."
1997-04-27,"Germany_gov","Spain_gov","Germany","Spain",1997,"international","3_apology",FALSE,"German President Roman Herzog apologized for the bombing of Guernica"
1997-05-16,"United States_gov","United States_min","United States","United States",1997,"domestic","3_apology",FALSE,"U.S. President Clinton apologized for the 48-year Tuskegee Syphilis Study by the U.S. Public Health Service that withheld medical treatment of the disease.Ê"
1997-08-21,"Croatia_gov","holocaust_victims","Croatia","holocaust_victims",1997,"multilateral","3_apology",FALSE,"Croatian President Franjo Tudjman made an apology to the Jewish people for crimes committed during WWII"
1997-10-07,"Norway_gov","Norway_min","Norway","Norway",1997,"domestic","3_apology",FALSE,"Norwegian King Harold apologized for injustices against the Sami."
1997-10-15,"United Kingdom_gov","India_gov","United Kingdom","India",1997,"international","3_apology",TRUE,"Queen Elizabeth paid 30 seconds of silent homage at the site of the Amritsar massacre."
1997-11-23,"Italy_gov","Ethiopia_gov","Italy","Ethiopia",1997,"international","2_regret",FALSE,"Italian President  Oscar Luigi Scalfaro expressed regret over the 1936 invasion and five-year occupation of Ethiopia "
1998-01-01,"South Korea_gov","Vietnam_gov","South Korea","Vietnam",1998,"international","2_regret",FALSE,"President Kim Dae-jung expressed his regret for the suffering caused by South Korea during the Vietnam War"
1998-01-07,"Canada_gov","Canada_min","Canada","Canada",1998,"domestic","3_apology",FALSE,"The Canadian government formally apologized for its historic mistreatment of indigenous populations. "
1998-01-12,"Japan_gov","United Kingdom_gov","Japan","United Kingdom",1998,"international","3_apology",FALSE,"Japanese Prime Minister Ryutara Hashiomoto offered his Òheartfelt apologyÓ and expressed ÒDeep remorseÓ for JapanÕs treatment of British POWs in World War II."
1998-02-11,"Norway_gov","Norway_min","Norway","Norway",1998,"domestic","3_apology",FALSE,"The Norwegian government apologized to Tater/Romani people for abuses in the past. "
1998-02-23,"Latvia_gov","Israel_gov","Latvia","Israel",1998,"international","3_apology",FALSE,"LatviaÕs President Guntis Ulmanis apologized for his countryÕs role in the Holocaust. "
1998-04-24,"Germany_gov","Spain_gov","Germany","Spain",1998,"international","3_apology",FALSE,"The German Parliament apologized for bombing the Spanish village of Guernica on April 26, 1937 during the Spanish Civil War."
1998-05-26,"Japan_gov","United Kingdom_gov","Japan","United Kingdom",1998,"international","2_regret",FALSE,"Japanese Emperor Akihito expressed deep sorrow to Britain for World War II"
1998-06-12,"United States_gov","United States_min","United States","United States",1998,"domestic","3_apology",FALSE,"U.S. President Bill Clinton apologized to Latin Americans of Japanese descent for the wrongful detained in camps during World War II"
1998-07-15,"Japan_gov","Netherlands_gov","Japan","Netherlands",1998,"international","3_apology",FALSE,"Japanese Prime Minister Ryutaro Hashimoto apologized for Japanses war crimes in letter to the Netherlands "
1998-07-24,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",1998,"domestic","2_regret",FALSE,"U.K. Armed Forces Minister expressed deep sense of regret for soldiers who were executed in World War I"
1998-10-08,"Japan_gov","South Korea_gov","Japan","South Korea",1998,"international","3_apology",FALSE,"Japanese Prime Minister Keizo Obuchi apologized for the occupation of the Korean peninsula and for the conduct used by Japanese soldiers against Koreans.Ê"
1998-10-22,"Argentina_gov","United Kingdom_gov","Argentina","United Kingdom",1998,"international","2_regret",FALSE,"Argentinian President Carlos Menem expressed regret over the Falklands War."
1998-11-26,"Japan_gov","China_gov","Japan","China",1998,"international","2_regret",FALSE,"Japan expressed remorse in joint declaration with China for past aggression"
1998-11-29,"New Zealand_gov","New Zealand_min","New Zealand","New Zealand",1998,"domestic","3_apology",FALSE,"The New Zealand Parliament passed the Ng_i Tahu Claims Settlement Act 1998 in which the Crown expressed its profound regret and apologizeds for the suffering and hardship caused to Ng_i Tahu"
1998-12-29,"Guatemala_gov","Guatemala_min","Guatemala","Guatemala",1998,"domestic","3_apology",FALSE,"Guatemalan President Alvaro Arzu asked Guatemalans to forgive the state for its role in the deaths and deprivation they suffered in 36 years of civil war."
1999-01-01,"Benin_gov","United States_gov","Benin","United States",1999,"international","3_apology",FALSE,"Benin President Mathieu Krkou begs African-Americans for forgiveness for Africans' role in slave trade"
1999-03-27,"Indonesia_gov","Indonesia_min","Indonesia","Indonesia",1999,"domestic","3_apology",FALSE,"Indonesian President Habibie offered apology for ""what has been done by the security forces, by accident or deliberately."""
1999-05-11,"Ireland_gov","Ireland_min","Ireland","Ireland",1999,"domestic","3_apology",FALSE,"The Prime Minister (Taoiseach) of Ireland apologized to survivors of child abuse in industrial and reform schools."
1999-08-27,"Australia_gov","Australia_min","Australia","Australia",1999,"domestic","3_apology",FALSE,"Australian Prime Minister John Howard apologized for past mistreatment of Aborigines."
1999-09-03,"Denmark_gov","Denmark_min","Denmark","Greenland",1999,"domestic","3_apology",FALSE,"Denmark Prime Minister Poul Nyrup Rasmussen apologized for the way his country forced Greenland Inuits from their homes in 1953 to make room for an expansion of a U.S. airbase."
1999-10-04,"Israel_gov","State of Palestine_gov","Israel","State of Palestine",1999,"international","2_regret",FALSE,"In an address to the Knesset, Israeli Prime Minister Ehud Barak expressed sympathy and regret for the suffering of the Palestinian people."
1999-11-10,"United Kingdom_gov","South Africa_gov","United Kingdom","South Africa",1999,"international","3_apology",FALSE,"Queen Elizabeth II offered a formal apology to South Africans for the actions of British forces during the Boer war"
1999-12-10,"Switzerland_gov","Germany_gov","Switzerland","Germany",1999,"international","3_apology",FALSE,"Swiss President Ruth Dreifuss reiterates a 1995 apology over wrong doings during World War II."
1999-12-17,"Germany_gov","Germany_min","Germany","Germany",1999,"domestic","4_apology_redress",FALSE,"German President Johannes Rau asks for forgiveness and promises compensation to victims of forced labor camps "
2000-01-01,"Indonesia_gov","Indonesia_min","Indonesia","Irian Jaya",2000,"domestic","3_apology",FALSE,"Indonesian President Abdurrahman Wahid apologized to the people of Irian Jaya for the use of military tactics and the human rights violations in that province "
2000-01-26,"Sweden_gov","holocaust_victims","Sweden","holocaust_victims",2000,"multilateral","3_apology",FALSE,"Swedish Prime minister Persson apologized at Stockholm Holocaust Conference for his governments' 'failure to perform its duty' during WWII "
2000-02-16,"Germany_gov","Israel_gov","Germany","Israel",2000,"international","3_apology",FALSE,"German President Johannes Rau apologized before the Israeli parliament for the Holocaust."
2000-02-29,"Indonesia_gov","Timor-Leste_gov","Indonesia","Timor-Leste",2000,"international","3_apology",FALSE,"Indonesian President Abdurrahman Wahid apologized for the violence in East Timor during its 24-year occupation by Indonesian forces. 
"
2000-03-14,"Indonesia_gov","Indonesia_min","Indonesia","Indonesia",2000,"domestic","3_apology",FALSE,"Indonesian President Abdurrahman Wahid apologized to all victims and survivors of the massacres and unlawful detention of alleged communists which began in the mid-1960s. "
2000-04-01,"Sweden_gov","Sweden_min","Sweden","Roma",2000,"domestic","3_apology",FALSE,"Swedish Deputy Prime Minister Lena Hjelm-Walln and Minister for Social Affairs Lars Engqvist issued an apology on behalf of the Swedish government for the persecution and abuse of the traveller community. "
2000-04-04,"Germany_gov","Greece_gov","Germany","Greece",2000,"international","2_regret",FALSE,"German President Johannes Rau visited Kalavryta and expressed shame and sorrow for the Kalavryta massacre."
2000-04-07,"Belgium_gov","Rwanda_gov","Belgium","Rwanda",2000,"international","3_apology",FALSE,"Belgian Prime Minister Guy Verhofstadt publicly apologized to Rwanda for Belgium's part in failing to prevent the 1994 genocide. Verhofstadt also unveiled a memorial for ten peacekeepers that were slaughtered by the Rwandan army.Ê"
2000-04-29,"Benin_gov","United States_gov","Benin","United States",2000,"international","3_apology",FALSE,"Benin Minister Luc Gnacadja apologized in Richmond (US, VA) for Benin's role in slave trade"
