"name","time","western","ex_colonizer","major_power"
"Sierra Leone_min",0,0,0,0
"slavery_victims",0,0,0,0
"Slovakia_min",0,0,0,0
"Solomon Islands_min",0,0,0,0
"South Africa_min",0,0,0,0
"South Korea_min",0,0,0,0
"South Sudan_min",0,0,0,0
"Spain_min",0,0,0,0
"Sri Lanka_min",0,0,0,0
"State of Palestine_gov",0,0,0,0
"State of Palestine_min",0,0,0,0
"Suriname_min",0,0,0,0
"Sweden_min",0,0,0,0
"Switzerland_min",0,0,0,0
"Taiwan_min",0,0,0,0
"Timor-Leste_min",0,0,0,0
"Togo_min",0,0,0,0
"Turkey_min",0,0,0,0
"Uganda_min",0,0,0,0
"United Kingdom_min",0,0,0,0
"United States_min",0,0,0,0
"Vietnam_gov",0,0,0,0
"Vietnam_min",0,0,0,0
"wwii_asia_victims",0,0,0,0
"Yemen_min",0,0,0,0
